127.0.0.1 - - [17/Feb/2021:10:14:45 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:47 +0530] "GET /housepricepredictionsystem/admin/index.jsp HTTP/1.1" 200 47235
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/css/components.css HTTP/1.1" 200 159070
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/css/app.min.css HTTP/1.1" 200 230944
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/css/style.css HTTP/1.1" 200 461569
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/css/custom.css HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/app.min.js HTTP/1.1" 200 349833
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/css/index.css HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/apexcharts.min.js HTTP/1.1" 200 407692
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/scripts.js HTTP/1.1" 200 20335
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/custom.js HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/index.js HTTP/1.1" 200 7754
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-1.png HTTP/1.1" 200 66205
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-2.png HTTP/1.1" 200 79644
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-3.png HTTP/1.1" 200 106440
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user.png HTTP/1.1" 200 66205
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-5.png HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-4.png HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/house.jpg HTTP/1.1" 200 362048
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:48 +0530] "GET /housepricepredictionsystem/admin/adminResources/fonts/fa-solid-900.woff2 HTTP/1.1" 200 74276
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:48 +0530] "GET /housepricepredictionsystem/admin/adminResources/fonts/nunito-v9-latin-regular.woff2 HTTP/1.1" 200 19600
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:48 +0530] "GET /housepricepredictionsystem/admin/adminResources/fonts/nunito-v9-latin-700.woff2 HTTP/1.1" 200 19748
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:48 +0530] "GET /housepricepredictionsystem/admin/adminResources/fonts/nunito-v9-latin-600.woff2 HTTP/1.1" 200 19708
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:49 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:58 +0530] "GET /housepricepredictionsystem/admin/register.jsp HTTP/1.1" 200 16736
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:58 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/auth-register.js HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:58 +0530] "GET /housepricepredictionsystem/admin/adminResources/css/register.css HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:58 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/jquery.pwstrength.min.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:58 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/jquery.selectric.min.js HTTP/1.1" 200 14549
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:58 +0530] "GET /housepricepredictionsystem/admin/adminResources/css/selectric.css HTTP/1.1" 200 4543
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:59 +0530] "GET /housepricepredictionsystem/admin/adminResources/img/loading.gif HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:59 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/house2.jpg HTTP/1.1" 200 260722
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:14:59 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:17:04 +0530] "GET /housepricepredictionsystem/admin/datatable.jsp HTTP/1.1" 200 22471
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:17:04 +0530] "GET /housepricepredictionsystem/admin/adminResources/css/datatables.min.css HTTP/1.1" 200 21914
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:17:04 +0530] "GET /housepricepredictionsystem/admin/adminResources/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 5035
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:17:04 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/datatables.min.js HTTP/1.1" 200 2277146
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:17:04 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/jszip.min.js HTTP/1.1" 200 123883
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:17:04 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/pdfmake.min.js HTTP/1.1" 200 1354463
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:17:04 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/buttons.flash.min.js HTTP/1.1" 200 29939
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:17:04 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/dataTables.bootstrap4.min.js HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:17:04 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/vfs_fonts.js HTTP/1.1" 200 870289
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:17:04 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/buttons.print.min.js HTTP/1.1" 200 2587
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:17:04 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-5.png HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:17:04 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-4.png HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:17:04 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/dataTables.buttons.min.js HTTP/1.1" 200 23214
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:17:05 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/datatables.js HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:17:21 +0530] "GET /housepricepredictionsystem/admin/index.jsp HTTP/1.1" 200 47235
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:17:21 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-5.png HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [17/Feb/2021:10:17:21 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-4.png HTTP/1.1" 404 1122
